match_id,participant_id,teamId,puuid,champion,lane,win,gold10,xp10,cs10,goldEarned,gold_diff_10,cs_diff_10,xp_diff_10,turret_damage,solo_kills,damage_taken_per_death,jungle_cs_diff_10,level_diff_10,kill_participation,objective_damage,Ct_raw,Ct_norm
KR_7463482624,10,200,JWxSwGq_TfGLdnfG4CcHnu8lGnj_f8PFD1Tc0ts_Y_HHExQMPi5a1SCQ1oqbmPNiigZG3tlFZWXNoA,Rell,BOTTOM,1,2162,1931,12,7467,675,-41.5,-1303.1999999999998,0,0,0,0,0,0,0,-203.24999999999994,-0.8067918602033327
KR_7471230388,1,100,1nW0c4hxUBNQ7VMOzZDi6dwa11Pci3SRRaZHCUomNJnCLqEyjX5NUy0tyKMLkAxCGzQ2qgT86MlmCw,Renekton,TOP,0,2061,2744,30,7640,-2940,-16.1,-248.30000000000018,0,0,0,0,0,0,0,-787.88,-1.014639382486145
KR_7471230388,2,100,xB-a9PvFmxU_vdqvfbBy5PzgGD3FY1tsz9ZnqJXE_UG1eVZWdPngxxRhs_PKdrKhPyLAvaWgx2dnBQ,Graves,JUNGLE,0,4161,2894,57,15228,-2940,10.899999999999999,-98.30000000000018,0,0,0,0,0,0,0,-735.0,-0.947668157867262
KR_7471230388,3,100,nux3rv7C_bNrQsUqqZH_dTxCmc9QabfUzdN7QQL9u035S8gx8zH3nX13AN4IxKckFkKE2sGgbwbNRA,Sylas,MIDDLE,0,3348,3133,50,9333,-2940,3.8999999999999986,140.69999999999982,0,0,0,0,0,0,0,-698.85,-0.9018850684199735
KR_7471230388,4,100,YUSz1G9GRCRKfIqm3_CGYP2twNkuTafPG1PF-qLePeztDqo7fb2mtFyQTNtnYxke1ywPZzCOwcJHVg,Jhin,BOTTOM,0,3248,3413,68,10765,-2940,21.9,420.6999999999998,0,0,0,0,0,0,0,-476.25500000000005,-0.619973953744477
KR_7471230388,5,100,HekCG_Dm0I7o0ioXS3QjP-nT_ZGUHI14AK8GlA5IYk8NTZsm0CHITlS_0oXM02x2PQZb9Al-g6Ne9A,Rakan,BOTTOM,0,2195,1922,13,7024,-2940,-33.1,-1070.3000000000002,0,0,0,0,0,0,0,-865.5050000000001,-1.1129495434362358
KR_7471230388,6,200,ZAOyQFcVaO2PeVF758dz6CSGjqmjEmATMkerJu1_aULIaXvIEObvi0rGm3H-4zE-O__LVODta8QBcw,Elise,TOP,1,4176,3964,62,13146,2940,15.899999999999999,971.6999999999998,0,0,0,0,0,0,0,932.52,1.1642050735336416
KR_7471230388,7,200,o8ZrzgaZu4lWbGfHUfIug5TYbSl6fambAUAp3J8pfhBNOS2pCtrldDbVNLYIbeoSm5wWkFvPtkZMpA,Khazix,JUNGLE,1,3524,2405,40,10710,2940,-6.100000000000001,-587.3000000000002,0,0,0,0,0,0,0,735.0,0.9140508321054689
KR_7471230388,8,200,D7Ihl4Q5YmPB4wN981iTIr2IBcffY4K0v8gw9tZiIajTE_H49DfKypPpqDhj29U-sdNgDwWS63M2ig,Viktor,MIDDLE,1,4308,3910,64,12123,2940,17.9,917.6999999999998,0,0,0,0,0,0,0,968.9,1.2102794523467082
KR_7471230388,9,200,fk262ri-FfC-cz7d6FKiyqQ_RBmxROmLOwUQpxyL8tciyBk5aODCkEcmblsy4ou5f24E1sVQoZ-2Tg,Jinx,BOTTOM,1,3255,3517,71,12965,2940,24.9,524.6999999999998,0,0,0,0,0,0,0,726.645,0.9034694292747054
KR_7471230388,10,200,ePeIgSKe7swXOkstc9n7JinN_RMxaCunkWIVPL-JA-2rMTLvpfpc_c9-6NWFxaBPGv88y-Sm35KYPQ,Lulu,BOTTOM,1,2690,2021,6,7567,2940,-40.1,-971.3000000000002,0,0,0,0,0,0,0,333.145,0.4051113186935696
KR_7574692983,1,100,Q93BJJns6XG4v7eaoyyyl7zJPshp7IuwXcJAL9tV9KSyTyhMr9xcNiglnLeCZxzbj9T4NVfJ1a-IRw,Aatrox,TOP,1,2725,3972,62,10386,1899,11.899999999999999,703.0,0,0,0,0,0,0,0,617.73,1.2111547662367155
KR_7574692983,2,100,bqqX7zhnihpWSc60vHDUrrblNXMAMCK4JUCuKQy628hAxUQ0uoqVqeKx4My0FmPc2gn1pWZwueOOow,MasterYi,JUNGLE,1,3453,3343,61,12995,1899,10.899999999999999,74.0,0,0,0,0,0,0,0,474.75,0.9250027389972648
KR_7574692983,3,100,pRta7tKHdoJuPo-6VSmq3mKYTXI3c_iBjRhCDSpmGLZlrU57Yq_mwgXRyKVTWP-6U7V9W0QNNrudYA,Aurora,MIDDLE,1,4236,3868,63,12215,1899,12.899999999999999,599.0,0,0,0,0,0,0,0,627.725,1.231158189878192
KR_7574692983,4,100,sJZ4QUwc1RCloS0Bh_kqoqGJlStyaCjOplyuQw98MhUd2Ep1YyKOgm9YCZ_5t-8q9-9SMSwp23SCYA,Jinx,BOTTOM,1,3567,3185,72,12570,1899,21.9,-84.0,0,0,0,0,0,0,0,365.37,0.7060958377561745
KR_7574692983,5,100,c5TnQis8Ib9mU0Mcrv5LLKmRuX8S6o5EHfReoI3j0cRn5ZFTI6VJB_A1QniZsvYjTB_rdHPEwus3MQ,Lulu,BOTTOM,1,3197,2692,10,9248,1899,-40.1,-577.0,0,0,0,0,0,0,0,223.52,0.4222053281470258
KR_7574692983,6,200,pXYY6Nk3JtQdhktysT6KVqoiixgzGC2MPimEMxr3E4zM6hKKnc9SmWStP24vJbj0D1WBnAUZRLb1NA,Ambessa,TOP,0,3230,4251,60,9007,-1899,9.899999999999999,982.0,0,0,0,0,0,0,0,-276.37,-0.578246041951792
KR_7574692983,7,200,6k_ODTD1HviCymMiuPT_MGQAf0EehDqChrlH2Dw99cpo1yWaoIcutyNETmFrTV82JATkp0HJDxlQlQ,Nidalee,JUNGLE,0,3365,2337,44,9978,-1899,-6.100000000000001,-932.0,0,0,0,0,0,0,0,-474.75,-0.9752724733671103
KR_7574692983,8,200,5pLgS5u_kXQuod3DxAl20dGBQP5TSGaEJS7yc27ihuvge767c_DPhV94s3d9AK9abNlImL3jPetFYA,Smolder,MIDDLE,0,3007,3861,58,9828,-1899,7.899999999999999,592.0,0,0,0,0,0,0,0,-324.775,-0.6751210515931796
KR_7574692983,9,200,XV2etxemNLIim89RPKUCyS8uK9m0l0GHBNjSTE5CP8RAVv24wNuZa1HdpbTmyGAk4_ujFs91hl1o8A,Zeri,BOTTOM,0,3052,3147,63,12588,-1899,12.899999999999999,-122.0,0,0,0,0,0,0,0,-406.43,-0.8385407171704445
KR_7574692983,10,200,oJa0xP-0sedZ4Ma7wF-Jt7uuYc7QGZq7NhZSC9NfX-5Mz3cNRUMVUMEzwxw7AajkatA5yHdqdNLUtQ,Leona,BOTTOM,0,2625,2034,8,6850,-1899,-42.1,-1235.0,0,0,0,0,0,0,0,-701.1800000000001,-1.4284365769328455
KR_7574837244,1,100,yQqGVtu0s2OVsZZBGkOfm5aj9orU_D9dzkIjZ4jzaPLUankXS4QIElb_7Wy-jZ9MZX1thgPLoop7Mg,Sett,TOP,1,3380,4024,57,10473,3411,7.200000000000003,715.3000000000002,0,0,0,0,0,0,0,997.25,1.1267201986880848
KR_7574837244,2,100,Zhqh-BCYW1GA7KXccPHmZ83u_JOIJDSruB0CbG9UgaBL9ecdNLcdYzjyM27BXV99dRPFjKTmKXXNeg,Naafiri,JUNGLE,1,4435,3269,56,14222,3411,6.200000000000003,-39.69999999999982,0,0,0,0,0,0,0,852.75,0.9662869117237548
KR_7574837244,3,100,jBA0fZaqQpvhbtX9vkyIoWD3WhGTm39l8YzprvhxhVdbzW9qLCQHMPnL_6-G2y_Y-Fl4DDhpFYHIqQ,Irelia,MIDDLE,1,4054,4067,80,11590,3411,30.200000000000003,758.3000000000002,0,0,0,0,0,0,0,1049.875,1.1851478922970664
KR_7574837244,4,100,7OSmgO2-45u_8AK-JSBfL3rrQeUuyCRDTHn_LvFM90hRL03P4AwxW9zDZC1XO41UqI5-RnuPNAf8Qw,Xerath,BOTTOM,1,3358,3679,63,11125,3411,13.200000000000003,370.3000000000002,0,0,0,0,0,0,0,778.7350000000001,0.8841106505842056
KR_7574837244,5,100,tAwrryzgcvdHdG7sKkEYn_48IY7e6WVON-BfZF-yKjYcLTyE48Cw2RRj7pDN0OsDI8_Dtbak5hO7pg,Senna,BOTTOM,1,3403,2307,7,9670,3411,-42.8,-1001.6999999999998,0,0,0,0,0,0,0,418.9350000000001,0.4846373173678326
KR_7574837244,6,200,dTqNFjkLpsSkQFJp64b-RYe7pLQ3pj6APh3DUNZayKFE4Ev_fHGHohu-FnvYC-CURXwp_zgbgx8ebw,Jax,TOP,0,3464,3470,51,8812,-3411,1.2000000000000028,161.30000000000018,0,0,0,0,0,0,0,-820.25,-0.8911863691850616
KR_7574837244,7,200,cZfP-kZMLAufG07RFWBTCk6GUUAIcCQocatpNifhEy0CUHdoN3NR3jQDuLHJsbAimXLaQKQk41ieNQ,Gwen,JUNGLE,0,3369,3834,70,13455,-3411,20.200000000000003,525.3000000000002,0,0,0,0,0,0,0,-852.75,-0.9272699804400146
KR_7574837244,8,200,7INbcIEExThYp9fTGNn5ShMmI9840hJM__ic6JwqrDVsRc-3RrRU0aU_KPJGmm9YY_7H6Xkgds_-KA,Zed,MIDDLE,0,3404,3875,54,9398,-3411,4.200000000000003,566.3000000000002,0,0,0,0,0,0,0,-710.125,-0.768918440278855
KR_7574837244,9,200,fu1OnaRs-vIMrXcq3r14GlNmSKAvJPNDkFFBYmjvY5jH51V-DyU-plXcAcaeXsstvYXw6PVsY2zRTg,Varus,BOTTOM,0,2463,2510,47,8444,-3411,-2.799999999999997,-798.6999999999998,0,0,0,0,0,0,0,-882.715,-0.9605390700170813
KR_7574837244,10,200,DaE_lGbgl81kYE9f2_2aMM2KQt61NVg5Pmg3xcYVIKgP6gPzXqcpXxvIxtdO6pkG6aL84k50q7LosQ,Karma,BOTTOM,0,2519,2052,13,6508,-3411,-36.8,-1256.6999999999998,0,0,0,0,0,0,0,-1007.415,-1.098989110739932
KR_7574965822,1,100,I0_WNeTJcJixJRDeLvT_HdxFXhYTaOXoBMqCkyA-1PWydp5-6ljF7NkZa8uAD5RmQRiJt0KrmSwSLQ,Heimerdinger,TOP,0,3331,4475,79,10440,2451,29.299999999999997,1336.9,0,0,0,0,0,0,0,885.99,1.339187976274051
KR_7574965822,2,100,SW-d-OWnYifXRrifVioHx1O1qZVwvVZcNMhWmbXUNtLO4sQjVSMIt5_ATSWLUebMW8zr8mwWIRElWg,Ivern,JUNGLE,0,3583,2901,52,9123,2451,2.299999999999997,-237.0999999999999,0,0,0,0,0,0,0,612.75,0.926468321052767
KR_7574965822,3,100,XV-BDu2dOKVn-WRQlmrM-uZARI3cZTb4YUUHiNemOwnAIqJ7dqeMltmHymXqY3AZUTo5_JbBQljSmw,Yone,MIDDLE,0,3658,3585,56,9482,2451,6.299999999999997,446.9000000000001,0,0,0,0,0,0,0,726.0500000000001,1.097604087911834
KR_7574965822,4,100,6r571uB-kh7FHoG0z3PLTmhUI8KSaRnB2PrBbdbWBb1p951c0Axrin7si2W3ArdhnLh3VbmQJ6jSTg,Corki,BOTTOM,0,4195,3538,73,13206,2451,23.299999999999997,399.9000000000001,0,0,0,0,0,0,0,597.1650000000001,0.9029277126988522
KR_7574965822,5,100,Wa2JN43wv0xLwTPy7iuekYiLIeqJ8BmLrFmiMn_TQTdBjbE0b1nA821JipG-OLeDx75QuSRR0Sh4Bw,Soraka,BOTTOM,0,2889,1618,5,7866,2451,-44.7,-1520.1,0,0,0,0,0,0,0,96.76500000000004,0.14709066295236378
