match_id,participant_id,teamId,puuid,champion,lane,win,gold_10,xp_10,cs_10,goldEarned,gold_diff_@10min
KR_7471230388,8,200,D7Ihl4Q5YmPB4wN981iTIr2IBcffY4K0v8gw9tZiIajTE_H49DfKypPpqDhj29U-sdNgDwWS63M2ig,Viktor,MIDDLE,1,4308,3910,64,12123,2940
KR_7471230388,9,200,fk262ri-FfC-cz7d6FKiyqQ_RBmxROmLOwUQpxyL8tciyBk5aODCkEcmblsy4ou5f24E1sVQoZ-2Tg,Jinx,BOTTOM,1,3255,3517,71,12965,2940
KR_7471230388,10,200,ePeIgSKe7swXOkstc9n7JinN_RMxaCunkWIVPL-JA-2rMTLvpfpc_c9-6NWFxaBPGv88y-Sm35KYPQ,Lulu,UTILITY,1,2690,2021,6,7567,2940
KR_7574692983,1,100,Q93BJJns6XG4v7eaoyyyl7zJPshp7IuwXcJAL9tV9KSyTyhMr9xcNiglnLeCZxzbj9T4NVfJ1a-IRw,Aatrox,TOP,1,2725,3972,62,10386,1899
KR_7574692983,2,100,bqqX7zhnihpWSc60vHDUrrblNXMAMCK4JUCuKQy628hAxUQ0uoqVqeKx4My0FmPc2gn1pWZwueOOow,MasterYi,JUNGLE,1,3453,3343,61,12995,1899
KR_7574692983,3,100,pRta7tKHdoJuPo-6VSmq3mKYTXI3c_iBjRhCDSpmGLZlrU57Yq_mwgXRyKVTWP-6U7V9W0QNNrudYA,Aurora,MIDDLE,1,4236,3868,63,12215,1899
KR_7574692983,4,100,sJZ4QUwc1RCloS0Bh_kqoqGJlStyaCjOplyuQw98MhUd2Ep1YyKOgm9YCZ_5t-8q9-9SMSwp23SCYA,Jinx,BOTTOM,1,3567,3185,72,12570,1899
KR_7574692983,5,100,c5TnQis8Ib9mU0Mcrv5LLKmRuX8S6o5EHfReoI3j0cRn5ZFTI6VJB_A1QniZsvYjTB_rdHPEwus3MQ,Lulu,UTILITY,1,3197,2692,10,9248,1899
KR_7574692983,6,200,pXYY6Nk3JtQdhktysT6KVqoiixgzGC2MPimEMxr3E4zM6hKKnc9SmWStP24vJbj0D1WBnAUZRLb1NA,Ambessa,TOP,0,3230,4251,60,9007,-1899
KR_7574692983,7,200,6k_ODTD1HviCymMiuPT_MGQAf0EehDqChrlH2Dw99cpo1yWaoIcutyNETmFrTV82JATkp0HJDxlQlQ,Nidalee,JUNGLE,0,3365,2337,44,9978,-1899
