match_id,participant_id,teamId,puuid,champion,lane,gold_10_diff,cs_10_diff,lane_cs_10_diff,jungle_cs_10_diff,xp_10_diff,solo_kills_15_diff,team_damage_pct_diff,damage_to_turrets_diff,vision_score_per_min_diff,total_damage_taken_diff,kill_participation_diff,kills_diff
KR_7555919738,2,100,YC5fatCdHOgo9LlnaDliBR0MrGK_8QIFFdPhUMj2fHGMf2ZSgslFoU5sQG_oqVDuBpJS8jK1iHzvEw,Hecarim,JUNGLE,60,-6,-6,1,-141,0,0.1060212508329508,236,-0.19302282623280775,8094,0.2579365079365079,2
KR_7555919738,7,200,0ExP7kxc91DHPEp9rpeXhBhKQT_Hd5kor_76PB3mlGCkFL877GMyuDKhS7QSfN4HDmDBSX29hnB2RQ,Darius,JUNGLE,-60,6,6,-1,141,0,-0.1060212508329508,-236,0.19302282623280775,-8094,-0.2579365079365079,-2
KR_7555919738,3,100,w9ASupfQ6swln0x04OUavLNlT_z7Bdfc8F49bmXSxnfoNmi1f8_aMCWg-baU2O-5j62uLHJteJiA4w,Vladimir,MIDDLE,-25,3,3,0,227,0,-0.039571103252081796,2360,-0.717045329997672,9305,-0.3492063492063492,-5
KR_7555919738,8,200,w-1eK_C3qYk0oYirCi9I7azX7ZXRmpsGbySDkBR9fUs2irpBT3I3OuBltVNJLah2MAhtsx0y-o-daQ,Ahri,MIDDLE,25,-3,-3,0,-227,0,0.039571103252081796,-2360,0.717045329997672,-9305,0.3492063492063492,5
KR_7555919738,1,100,qy6LFBa4wld3KXdY_UCKtqPnEsKRNhBuGgUdgcpccK2GamJXX0jJQQeH9btJ3XlcvmrE1OKdTuYdiA,KSante,TOP,1338,17,17,0,1053,0,0.0317436858529164,-5016,0.18435003563936914,-1628,0.1388888888888889,1
KR_7555919738,6,200,_E1JSPUAhqwisJqBQWVavE7_RogOojnOBfNaBUNiYcWyKC3l_XpWlFuROYUsbYxBx49RZ6IN7r8Sdg,Jax,TOP,-1338,-17,-17,0,-1053,0,-0.0317436858529164,5016,-0.18435003563936914,1628,-0.1388888888888889,-1
KR_7556069018,1,100,JjWwBjQ8tY7cp35OlpCblDuSEXQB7rvu-9x5j7kiBGmcgYLDFLibvmqgPBu0pR1aNtuX4v9froj4-A,Sion,TOP,-737,-18,-18,-2,4,0,-0.0965906963663346,-779,0.16032274482013842,-5095,0.01851851851851849,-3
KR_7556069018,6,200,X-KhbviWvJcdGnLBBock4dyE6-snFxyACSFcqV84jBRZnkhXdOReVS53OTxLQVyKl34ZFJySSXTEzg,Darius,TOP,737,18,18,2,-4,0,0.0965906963663346,779,-0.16032274482013842,5095,-0.01851851851851849,3
KR_7556167497,1,100,HmpWOoJItVM1M-CWxLTV4abDRlh_cM8APFq2HOojdya5Cu-1ared44D1oCo7oVgtPcwH5VCl_glFUg,Poppy,TOP,433,7,7,0,243,0,0.1282755873175976,-4165,-0.07718540749494318,5139,0.5146103896103897,7
KR_7556167497,6,200,gm7b13x0rvtLC1ePAcqUEn4omH6oGYeh-ua5CKrztNoOKdPbrR4RWXn8VVWXPrxjhjd7KmJn1SbnKQ,Camille,TOP,-433,-7,-7,0,-243,0,-0.1282755873175976,4165,0.07718540749494318,-5139,-0.5146103896103897,-7
KR_7556234614,1,100,yGrbzwT0U55q8EgDMBk_zvle7ALYh-ToZGlAv1S1e_aMfHCc29BsLvjyBAH2WgUuqT79-LW02MeArw,Ambessa,TOP,-10,-14,-14,0,147,0,-0.05192168426164209,-11096,-0.40748701616771055,-46,0.1428571428571428,-2
KR_7556234614,6,200,qpNlg7kpPCz8-5oImmkZBd4mCtvMEr63ksFRvwfnsbYsKCFI5wuyVAaxC36ro353FHqDFtEF0E7wpg,Jayce,TOP,10,14,14,0,-147,0,0.05192168426164209,11096,0.40748701616771055,46,-0.1428571428571428,2
KR_7556282841,2,100,gB4kZ6tr5Lzl99YaZ1Il5VKYXJ7Xv0rUrOktLKSv2jHws_9v-2RUj7RMIxVKa09vxsOqPkK-MxAD4g,LeeSin,JUNGLE,-571,0,0,-35,-994,0,-0.0249065179961572,-2093,-0.6724564831730264,-8242,0.22666666666666663,-1
KR_7556282841,7,200,J6LUJ-1JmMQK7LSpEFz8k6hTmCxPG29bTVX3XJ65Ha3TbmorciEd6-Zoh_FcWRbmSGNt9Tocs1hrrQ,Darius,JUNGLE,571,0,0,35,994,0,0.0249065179961572,2093,0.6724564831730264,8242,-0.22666666666666663,1
KR_7556282841,1,100,3VSTkmubjfBTvqeFqW31xzK0L1jKO-Gj0O_cPCq-q8N2YAsnJqnUScLN5HuJ88wvCS105qabckDndA,Ambessa,TOP,-1059,6,6,0,1092,0,-0.01645509073911791,-4769,-0.6723513444555661,6563,-0.1866666666666667,-6
KR_7556282841,9,200,o0OsutMW8kCRpW84ngCeDLtCiSLyXaP7q7Omo7x1dW-h_uhO9oy4RgA6Q-RGnNwa0nbFdcSKpuiHeQ,Ashe,TOP,1059,-6,-6,0,-1092,0,0.01645509073911791,4769,0.6723513444555661,-6563,0.1866666666666667,6
KR_7556376949,2,100,W8p7dMJ7A11gEpkoe5DK8QDSvkLhiCpXJ6h_wht7P8k2PGjBeNcrUHDqu2HIrGf776C2i3jTHbdY9A,Hecarim,JUNGLE,140,-3,-3,11,168,0,0.013499389622002922,-2294,-0.16209495460517553,3403,0.058441558441558406,-7
KR_7556376949,7,200,0ExP7kxc91DHPEp9rpeXhBhKQT_Hd5kor_76PB3mlGCkFL877GMyuDKhS7QSfN4HDmDBSX29hnB2RQ,Darius,JUNGLE,-140,3,3,-11,-168,0,-0.013499389622002922,2294,0.16209495460517553,-3403,-0.058441558441558406,7
KR_7556376949,3,100,S5zKm1Il5jfZ9dESVnQ3BpGZMO_MAN32alwqS2RuJ31980VuPjDH8j-8EOhycdKmgRqr6aBP01wK3g,Vladimir,MIDDLE,-449,4,4,-2,735,0,-0.04084267165294003,-3690,-0.04775705658475293,11534,-0.18181818181818177,-4
KR_7556376949,8,200,t8stZN6MlhWXjn8dzTh30dWXJlwazGuw32ljuQsmOGrAwxFYdl8crT7iEKTw2ddNJ6hogDQdRv3rdw,Ryze,MIDDLE,449,-4,-4,2,-735,0,0.04084267165294003,3690,0.04775705658475293,-11534,0.18181818181818177,4
KR_7556376949,1,100,YC9stCvIH5FC-S-qt3S8XJ9TNcbYrw6Ng-uciW7IcIyyTwOxE4V1-IQYsOS62jbnclTN0Lp7aWIRDQ,Urgot,TOP,298,-5,-5,0,278,0,0.07408352205814664,4086,0.5982374004154876,-16584,0.1428571428571429,6
KR_7556376949,6,200,kZkChpd2hjPyLqxLKRMlNG7l6QDU2cGxPyy0n-qyIoU-hb4mX0V25sRX6Cu50xBreE34k_Dc_T5yPw,Aatrox,TOP,-298,5,5,0,-278,0,-0.07408352205814664,-4086,-0.5982374004154876,16584,-0.1428571428571429,-6
KR_7556506302,2,100,G5JWnqKBBZWxO_naxGlLnHHCWDuwMSCHnFIg-Tah3l0Epyl9ounFYGXsDPEmWuOc40N_wd8S9_uG-w,Vi,JUNGLE,357,0,0,-8,-156,0,-0.007761169777986077,1427,-0.2615795088335868,1948,0.02083333333333337,-3
KR_7556506302,7,200,Ukyodf_Skm9cXfFBcE-7xMacXr8tZn3ZP7BwyXaSdYVeNvK_CP31QXd3ic82W6KLxwndSFi1P64hkg,Belveth,JUNGLE,-357,0,0,8,156,0,0.007761169777986077,-1427,0.2615795088335868,-1948,-0.02083333333333337,3
KR_7556506302,3,100,A-Z_AaM67jCgwIpr3e54SvbqnxJ2uTAqwGKTd7eogC6otN3xTfkhCiT_2Z_y6dzyAdx6PsNibpJ0AQ,Aurora,MIDDLE,-518,-14,-14,0,-1268,0,-0.04911873218586302,3640,-0.12172662464903239,-2383,-0.08680555555555558,0
KR_7556506302,8,200,3PV0N1WhJB_IY1yxcOAVIHy_k2WlgszjIeRzR0HVmQiuv-QOzx1B-w0jaBidjgOrYLNw8acjU53YQg,Leblanc,MIDDLE,518,14,14,0,1268,0,0.04911873218586302,-3640,0.12172662464903239,2383,0.08680555555555558,0
KR_7556584460,2,100,qWxfzJONKU02DjfGo91jaBBPIUx75IhklOj9-Zih6TJnrVi422NWJinMpmgY3KHpjQ_tMn3rhli0Ng,Viego,JUNGLE,84,-8,-8,27,1086,0,0.018098283414956895,2845,-0.5928586847641013,9091,-0.07499999999999996,8
KR_7556584460,7,200,O7SUvmgSDubWV6Vc2grEUys_lQwTXcG1B_OryEbTZsryIRhuo1mEePYU8wDP9YPhPm9vW0WAKipiCw,FiddleSticks,JUNGLE,-84,8,8,-27,-1086,0,-0.018098283414956895,-2845,0.5928586847641013,-9091,0.07499999999999996,-8
KR_7556701587,1,100,ZEnu9XOMeFNU7Z0guxmwjHLC2ech40MB2C_D6S91-1BtOQmyOU4ZJd_YYV2FGk-5Xfz2D92SdiVRJw,DrMundo,TOP,243,8,8,0,260,0,0.13265537381379766,6482,-0.172498410220418,27531,-0.041666666666666685,-1
KR_7556701587,8,200,T9uvQ6NOQfD2rICW0JcxayJ7xSa6-lkxE7-UozscY-NO1CBEMkhWpM9qLHV9zQdjwENfjSQzJRYA-A,Syndra,TOP,-243,-8,-8,0,-260,0,-0.13265537381379766,-6482,0.172498410220418,-27531,0.041666666666666685,1
