match_id,participant_id,teamId,puuid,champion,lane,Ct_raw,Ct_norm,win
KR_7566776653,7,200,TgcCM_ehekE5SxEnqrVyC96hJf27vqRDOCpx_wcawkotnb6XMMCuvZWgBcEuGmFD6mw5fgsg46RmUg,XinZhao,JUNGLE,11983.97722419836,1.7439293413036354,
KR_7566776653,3,100,QegbXOV2D4PoDb1sRj8wsF4vwBhid-JpS-wUB5YhprXPME42SiT63ulR5wD9ddYstVf2U473E_CxFw,Jayce,MIDDLE,13411.115288310335,1.9516089703228428,
KR_7566776653,8,200,81UMuKqftY-c4mbvy6B0LNWH6rr7_b7tWKn13Hyqfkl16wMXp28voq1X-fPH7Y19fm-Oiut_mhvXvA,Azir,MIDDLE,-13411.115288310335,-1.9516089703228428,
KR_7566776653,1,100,_6QOOujO_FQBSqxusy8RFICnA3E4np2G-cTKYaQPJinZMcc_dFW_mIim6hwfiJjyzw0mHW_ul7blyA,Pantheon,TOP,-1964.862270840706,-0.28593019676477327,
KR_7566776653,6,200,c7o6m66l3vzaLhIzVVp71aoiCWaQcJEa0PK9mymRUTwpPmXKsTfqiBxsM53jWwrALpq0MdiAJONQEg,Ambessa,TOP,1964.862270840706,0.28593019676477327,
KR_7566881283,2,100,2IExQmesgEXzM9v9PaBvmBpJK72qYqJACYQ-YZ9s_fLEqlgy1u9SZaLwvo1Ei09hp8EbOsgZrY2dYA,Lillia,JUNGLE,9664.323871058488,1.4063693252494005,
KR_7566881283,7,200,BTt_A4ZzxOxQcxiFPix2PoXpIKJYa3euT3zvl8AMyDaAOvti1pvnP9zYVyTK3bn3xErIKlk2EFQBXg,Nunu,JUNGLE,-9664.323871058488,-1.4063693252494005,
KR_7566881283,3,100,35AoxTWUHHNG0PO16A8Hn168fcRRWsw6HLUjWSavIkUXVommQDBOg3_bK_OtROWNX0PYSFIQ8Tmmmw,Yone,MIDDLE,-3687.7625915710614,-0.536649667041812,
KR_7566881283,8,200,UXTH2HNmtEQOUYyCF3XdCtZkGrfj1NQOmSf3NPrve-MEs9sm9lI7fMOTeRjfgxO5ObIUita_YIGWdA,Yasuo,MIDDLE,3687.7625915710614,0.536649667041812,
KR_7566881283,1,100,tymbOPyuxhq4dlfHaWfddTmxBPL3RrY15k3U-OxEZnhF2S44HxxsqTtmLGA1xHwVuCUhKpvl9-kbWg,Gangplank,TOP,-6712.2198690566665,-0.9767739837900258,
KR_7566881283,6,200,Zh-QcpxNauSMljd3bdGsaWM3xuxcgg0N5hog3UQ9XJK8TkBUtq9rKwZIt5z1U7VjUmadBvkmXsJH6g,Rengar,TOP,6712.2198690566665,0.9767739837900258,
KR_7567040161,2,100,LRlXgISgxUbvn5fTukF1mztIST6ppTdj6h2Gj00BnlvU3pnKvLJj-u9ZU6MhYZbVIooONv7vpymwuA,JarvanIV,JUNGLE,-7125.625599825502,-1.0369335093184189,
KR_7567040161,7,200,EtsneL9NHGA1jc4i6TWI0hzv8nhtGoaWf4sREMwOABt2GQMd1pUjW2g0NC91pZUxMEj7uGvSL7PHYQ,Lillia,JUNGLE,7125.625599825502,1.0369335093184189,
KR_7567040161,3,100,Pls6BmiOUxP2vE__ThhVutovTwwnJ_wEgEMKLA5zPXf9MLIJkcBELmQl7uQC0DC3tJoF_r-2M0FP_w,Aurora,MIDDLE,-7620.055375861599,-1.1088837957310513,
KR_7567040161,8,200,1xLNXEqnHC_2SZooxZ64AN3fhBG4Nr0WEqnzFojU4Nogkyfyw6uYDEqBMMK1w_kGMC-7PjTKovE4Og,Naafiri,MIDDLE,7620.055375861599,1.1088837957310513,
KR_7567040161,1,100,4pAcnYzDn2fxDWfkJzJVxXOmMC-aOOE2Go9aGKs75njiw8E_JOY9HmRYGrM7dwdnztB_v-RhPi9Y-w,Ambessa,TOP,3612.9126722770243,0.5257573757758119,
KR_7567040161,6,200,rZEHhJ0MKCVzQnpp47P0u5bLs5E5DGGA2JP3q7Bp9fG_nyo6Q-cywKDsLjbPHLSu4644wXPrifzUNA,Pantheon,TOP,-3612.9126722770243,-0.5257573757758119,
KR_7567213465,2,100,j7TxsFgO9-YYfJpEQ81Y_3V4lIjXO3aK7YvziDx9G06wUJq3D-pKzV8FmEG41Ly6yzqGsb90rdysuw,Talon,JUNGLE,-6873.365982280585,-1.0002242482415278,
KR_7567213465,7,200,GarTfjgOPrzFg4QNk2ZCXF17NwZaT2mBleTqXsXok632_VBj43Fbhrl4ltK5qOChudu0J-1Uu3mwzQ,Zac,JUNGLE,6873.365982280585,1.0002242482415278,
KR_7567380758,3,100,2Jb3CYFo-ywjwpWFKWX6tmRoQ_QIFOdA0y1GGqbIrQfz_uc2hsG13cSqd3bIJp-vRHZ3HhN-snSRXQ,Yasuo,MIDDLE,-12813.791153428487,-1.864685316714268,
KR_7567380758,9,200,9Jsx6rNTWjXlcgSm9qe_n259Xgl_HurdW6dP6eVIqREHCWKERzKsDY7oBEbMH0seuvKvXnX0pi2MYQ,XinZhao,MIDDLE,12813.791153428487,1.864685316714268,
KR_7567380758,1,100,kto-nUpd6AJiA6zOpFMt-k2yj61rr8dnul-MJ0KpBi2798PnlGaQ3ab729z13-fhqteKDNbIckVTbQ,Jayce,TOP,-11681.902036572368,-1.6999708312760093,
KR_7567380758,6,200,4pAcnYzDn2fxDWfkJzJVxXOmMC-aOOE2Go9aGKs75njiw8E_JOY9HmRYGrM7dwdnztB_v-RhPi9Y-w,Gwen,TOP,11681.902036572368,1.6999708312760093,
KR_7567485918,2,100,BSxA2YVdsUFCGyliP6iGz4q17ZHjEe1P-Q1cfpD-p8z0IcatEv_bOxBbkmvON_SRjrt_-Dme7mIgoA,Sejuani,JUNGLE,12683.4963054769,1.8457245823843789,
KR_7567485918,7,200,wuicHM_pSRIMSaJl7yMg-a59T2w4TEQ6wQcoSgHhywlKN8e2KAIV2FXIv_4wzYDOL2VYa9V0alDzpg,Poppy,JUNGLE,-12683.4963054769,-1.8457245823843789,
KR_7567485918,3,100,JncbFPz_xCb-AwjGVEcvbhGyrdtgtrcmLQBQxKTi3yrb5mJrO22JSzQHugPoG5jr2D0UrsNcMEKuhQ,Yone,MIDDLE,243.78898235128887,0.035476599417302905,
KR_7567485918,8,200,t8stZN6MlhWXjn8dzTh30dWXJlwazGuw32ljuQsmOGrAwxFYdl8crT7iEKTw2ddNJ6hogDQdRv3rdw,Sylas,MIDDLE,-243.78898235128887,-0.035476599417302905,
KR_7567485918,1,100,Q93BJJns6XG4v7eaoyyyl7zJPshp7IuwXcJAL9tV9KSyTyhMr9xcNiglnLeCZxzbj9T4NVfJ1a-IRw,Fiora,TOP,-16976.57891186406,-2.470461477478042,
KR_7567485918,6,200,H71O_m7hzg0E4MeLLGcpVAwHGCy7vMjcF4TpMlCxWt6-Vj_Lg1UVk6Fl2XLVZw6g6OqIXROxcWt_OQ,Gwen,TOP,16976.57891186406,2.470461477478042,
KR_7567552474,2,100,eatUj6rxaF2Xg3pcak94auX-TQQvzRs8pB8ZAiuQbkQubbRXhjF6KhmTupV_0GtbluXD-_W5agUZ9A,Poppy,JUNGLE,-10376.98317566647,-1.510076754628468,
KR_7567552474,7,200,UN4qDBOIiemh56_11gYXg2KGtbDZtKKGtsFPNFyKmUVLxtn27lYA1rmKMQ4UbNFZ2-EkEMaTQnqd6w,Viego,JUNGLE,10376.98317566647,1.510076754628468,
KR_7567552474,3,100,hNnUK-1z3SKixJ-71chpRl98fbZPjCiUx7CfBa4DdSEWixi5Q_bUDDKbGiNFdOHPdHWodvNXYLlwtg,Azir,MIDDLE,-15695.852579956794,-2.2840879399947323,
KR_7567552474,8,200,c7o6m66l3vzaLhIzVVp71aoiCWaQcJEa0PK9mymRUTwpPmXKsTfqiBxsM53jWwrALpq0MdiAJONQEg,Kassadin,MIDDLE,15695.852579956794,2.2840879399947323,
KR_7567552474,1,100,K0DUV4BpL07rXE0_pgf92mTosl5KSFsznwvgbVdQ-KjlgYyjESeAuqmu9-fgVEDFoiSXysrEAd02AQ,Rumble,TOP,-11686.615485220622,-1.700656740573285,
KR_7567552474,6,200,OU58kHnN8Maf-u8yr-UZMT3zKyFqw61CZawCXdfiV_J_kumU5FxqSKiLVT4t7i0_N-FzHWFPCmSVQQ,Ambessa,TOP,11686.615485220622,1.700656740573285,
KR_7567616097,2,100,x-QgAXfW9NI6wHkEDc4hzKAFvcudkNDXu2vQj7qYhCd4LQCmnxb2RiQPGYX0yH4ao1F_0b4WyuLv4w,Pantheon,JUNGLE,-2793.404992124764,-0.40650118377008965,
KR_7567616097,7,200,UrgNPgVcql88ycboL5bjZdTa9H89HovZ3OyLhXbS9VOJfJb-ZD1apsOinFQI1icSlG52mKgdc2pqyQ,Hecarim,JUNGLE,2793.404992124764,0.40650118377008965,
KR_7567737991,5,100,_wTcCaqzExp3GL8Obva_deiXiaDqnjaa0l4gzBwSrGLbHZsqcKzkIoRoXG_2TMXFhH2vhDyD8lwymw,Leona,BOTTOM,-6860.7218350764915,-0.9983842498092498,
KR_7567737991,9,200,5XvaFG0TFfg1eteFhhXD-0kYb9Ie-HjRaUaiRqFtb2GAP3O9IqobZFrRn2uBWpLbIt1W_PJv_uaRQA,Ezreal,BOTTOM,6860.7218350764915,0.9983842498092498,
KR_7567737991,2,100,gLneXyQW5RFT1JvCiQd7o7XDBrn8WW0M8PyZX2C-D-D0ztpHf97lOUJPnuuec4vNfWmQsQt4G-WrfA,Graves,JUNGLE,-5651.066723450648,-0.8223531206977418,
KR_7567737991,7,200,dAV1pD1oOD9dhz0NquUZmRI-WKuzxkUFe1fpD9AXTGnR_yo20KdIRYwFsKl7qAiChdit7DZG1ztzYw,Khazix,JUNGLE,5651.066723450648,0.8223531206977418,
KR_7567737991,1,100,cTeVTiAx6G2WU1bZ7Go0U6YYB2DMud41PIBeEzAXMQ_k3Q78BMnZLKIPjU3i7s6glPiiyFqruXR0KA,Darius,TOP,-2840.4213871497354,-0.4133430918672452,
