match_id,participant_id,puuid,teamId,champion,individualPosition,lane,role,kills,deaths,assists,kda,kill_participation,damage_to_turrets,damage_to_buildings,vision_score_per_min,team_damage_pct,gold_earned,gold_spent,champ_experience,total_damage_taken,gold_10,cs_10,lane_cs_10,jungle_cs_10,xp_10,solo_kills_15,gold_10_diff,cs_10_diff,lane_cs_10_diff,jungle_cs_10_diff,xp_10_diff,solo_kills_15_diff,team_damage_pct_diff,damage_to_turrets_diff,vision_score_per_min_diff,total_damage_taken_diff,kill_participation_diff,kills_diff,win
KR_7461719584,1,PnjczL7VESlrLKjVSQUWgsAjCsS7r3KNJcmsq5Xb6aindkgJMMm7iJ95fLdqmMZU86jv0AGSxu-mQQ,100,Sion,TOP,JUNGLE,NONE,4,5,13,,0.4594594594594595,5317,5317,0.7041183331154198,0.1599064691055999,11465,9050,15797,44130,2934,61,61,0,3740,0,-252,-3,-3,0,-778,-1,-0.1238508678256691,3044,0.090188075647031,11021,-0.0922646784715749,-5,1
KR_7461719584,6,72lIpS7UXgt6zge6zZMPLUElUfqAciBjEzXx8T9wpEnvYhpQjGX5-F1_3sLwDOIyBfHj0EbP1CtbeA,200,Rumble,TOP,TOP,SOLO,9,8,7,,0.5517241379310345,2273,2273,0.6139302574683888,0.2837573369312691,12543,11625,15072,33109,3186,64,64,0,4518,1,252,3,3,0,778,1,0.1238508678256691,-3044,-0.090188075647031,-11021,0.0922646784715749,5,0
KR_7461719584,2,UDY6yg4_foiB991ah-NXqpYxRn_FxFCSWU8PsV_ipW-30lv9NEuJruglQ4dfw2E9K5lrexLj2RN1Jg,100,Vi,JUNGLE,JUNGLE,NONE,5,6,11,,0.4324324324324324,2257,2257,1.25754293913148,0.1634490980905654,12958,11250,16337,52340,3745,78,4,74,3909,0,204,9,3,6,55,0,-0.0013133464419478,1420,0.3827786872763207,-5480,-0.222739981360671,0,1
KR_7461719584,7,x5Dw8cufXrfTzw1UJmImEFbXS3IYlHXzqxu71uEqJuAzoMKry7_b3p2kH_Vkfzv__pWBG-yg7XMv2g,200,Skarner,JUNGLE,JUNGLE,NONE,5,10,14,,0.6551724137931034,837,837,0.8747642518551594,0.1647624445325133,10898,9600,12481,57820,3541,69,1,68,3854,0,-204,-9,-3,-6,-55,0,0.0013133464419478,-1420,-0.3827786872763207,5480,0.222739981360671,0,0
KR_7461719584,3,hVPzeZALU-SPFNYByN1YOqA16Twwxyy30i5B0AoXsVa-ADZ6UoACZxF16nYPFG4BwKHubkrWaCHTMg,100,Lux,MIDDLE,MIDDLE,SOLO,11,2,17,,0.7567567567567568,7092,7092,0.9419520166796572,0.3176087574602187,14490,13710,15600,14405,3377,83,83,0,4858,0,-1310,-9,-9,0,-149,0,0.0440551733378566,4332,-0.4303682512585786,-4978,0.0671015843429636,2,1
KR_7461719584,8,wfD8o6pksilt-AWa_8zCTnMueyVILJ4eXxEFvuNHulBwFrc0c0Id03DJ7hY9zoqXlzAaRAOsCuzI_A,200,Ahri,MIDDLE,MIDDLE,SOLO,9,3,11,,0.6896551724137931,2760,2760,1.3723202679382358,0.2735535841223621,13545,12550,15277,19383,4687,92,92,0,5007,0,1310,9,9,0,149,0,-0.0440551733378566,-4332,0.4303682512585786,4978,-0.0671015843429636,-2,0
KR_7461719584,4,Xp5eXjOb1tyEBWw-zg6R9jnpnOsdZk2rC9CzNMCSW48IRhlBWKeD3Teq9BrsG7fWVnv_MrNsKQfx2Q,100,Varus,BOTTOM,BOTTOM,CARRY,15,9,11,,0.7027027027027027,8014,8014,1.0769570708614926,0.2823247188366429,15798,12250,12817,38056,5289,81,81,0,3563,1,2666,29,29,0,679,1,0.0715724111591251,6073,0.0898817817620618,14191,0.1509785647716682,11,1
KR_7461719584,9,vLC5qGCHxOvEtit_mM6FSWEnuE5BXgu4-1sg0lNqJTGz-QSRZyWCc9UD2DDVy3lM5hTWdXmSL1F2vA,200,Ashe,BOTTOM,BOTTOM,CARRY,4,11,12,,0.5517241379310345,1941,1941,0.9870752890994308,0.2107523076775178,10884,10050,11963,23865,2623,52,52,0,2884,0,-2666,-29,-29,0,-679,-1,-0.0715724111591251,-6073,-0.0898817817620618,-14191,-0.1509785647716682,-11,0
KR_7461719584,5,InG-aw75ZisgsmJJ_XjOrK8BPs1ElVMwNsklk0lWIJkZCKbwve8iTzbvh4bz_vsIu4HgbYRQAUyMeQ,100,Renata,UTILITY,BOTTOM,SUPPORT,2,7,27,,0.7837837837837838,2000,2000,3.5719877047539197,0.0767109565069729,9542,12110,11503,20369,2601,17,17,0,2794,0,-215,3,3,0,-216,0,0.0095366297706353,1587,-0.1733592255170384,-4440,-0.0782851817334575,0,1
KR_7461719584,10,97H-IIZ6PwDfP9TkhDWwdYUktEkc75ytJ34Z-MpsqnW2tRenlQGvqLsqvk395Z9tYDNMbaURPkuJzg,200,Rakan,UTILITY,BOTTOM,SUPPORT,2,5,23,,0.8620689655172413,413,413,3.745346930270958,0.0671743267363376,8367,8100,9278,24809,2816,14,14,0,3010,0,215,-3,-3,0,216,0,-0.0095366297706353,-1587,0.1733592255170384,4440,0.0782851817334575,0,0
